shift_Id,doct_Id,nurse_Id,helper_Id,shift_Date,shift_Start,shift_End
70001,1147,null,null,2025-05-19,08:00:00,12:00:00
70002,1149,null,null,2025-05-20,14:00:00,16:00:00
70003,1148,null,null,2025-05-21,06:00:00,14:00:00
70004,1150,null,null,2025-05-22,14:00:00,22:00:00
70005,1147,null,null,2025-05-23,18:00:00,02:00:00
70006,1156,null,null,2025-05-24,22:00:00,06:00:00
70007,1152,null,null,2025-05-25,08:00:00,16:00:00
70008,1174,null,null,2025-05-26,12:00:00,20:00:00
70009,1153,null,null,2025-05-27,08:00:00,16:00:00
70010,1151,null,null,2025-05-28,14:00:00,22:00:00
70011,1178,null,null,2025-05-29,08:00:00,16:00:00
70012,1147,null,null,2025-05-30,14:00:00,22:00:00
70013,1180,null,null,2025-05-31,08:00:00,16:00:00
70014,1169,null,null,2025-06-01,14:00:00,22:00:00
70015,1178,null,null,2025-06-02,07:00:00,15:00:00
70016,1001,null,null,2025-05-19,15:00:00,23:00:00
70017,1002,null,null,2025-05-20,19:00:00,03:00:00
70018,1001,null,null,2025-05-21,23:00:00,07:00:00
70019,1002,null,null,2025-05-22,07:00:00,15:00:00
70020,1048,null,null,2025-05-23,15:00:00,23:00:00
70021,1043,null,null,2025-05-24,19:00:00,03:00:00
70022,1060,null,null,2025-05-25,23:00:00,07:00:00
70023,1090,null,null,2025-05-26,08:00:00,16:00:00
70024,1092,null,null,2025-05-27,14:00:00,22:00:00
70025,1082,null,null,2025-05-28,08:00:00,16:00:00
70026,1093,null,null,2025-05-29,08:00:00,16:00:00
70027,1097,null,null,2025-05-30,14:00:00,22:00:00
70028,1103,null,null,2025-05-31,08:00:00,16:00:00
70029,1105,null,null,2025-06-01,14:00:00,22:00:00
70030,1098,null,null,2025-06-02,08:00:00,16:00:00
70031,1107,null,null,2025-05-19,08:00:00,16:00:00
70032,1108,null,null,2025-05-20,14:00:00,22:00:00
70033,1112,null,null,2025-05-21,08:00:00,16:00:00
70034,1113,null,null,2025-05-22,14:00:00,22:00:00
